,Unnamed: 0,instance_id,annotator_id,text,politeness,gender,race,age,occupation,education,split,scaled_rating
0,0,3104,0,"Can you anticipate what's next in the WWF ?

I can and it's the Rock whoopin ass on the WCW",1.0,Woman,White,25-29,Employed,College degree,train,-1.8348566650357248
1,2,3646,0,"Hey Joseph Step,



I wish you a very merry Christmas! I don't know if you work all day or what your situation is, but please don't spend Christmas by yourself! Your mother would hate me if you did, haha. Also, no, I'm not going to give or sell you my car!



T. ",4.0,Woman,White,25-29,Employed,College degree,train,0.5510032390329863
2,3,3210,0,"I'll keep reviewing the B plan just in case, but otherwise, I'll try to get John to go through all the pages and presentation.",4.0,Woman,White,25-29,Employed,College degree,train,0.5510032390329863
3,4,3483,0,"Hey bunda,
How are you doing this morning?
I just took some medicine and I am drinking a sprite.  Hoon was cold this morning in the house, running around making her lunch.. no wonder you were cold.  I hope you are having a great day!
Love
ME",2.0,Woman,White,25-29,Employed,College degree,train,-1.0395700303461544
4,5,412,0,Attached is a further installment of the EWS Tax Update summarizing the many transactions supported by the EWS Tax Group during the past several weeks.  Please do not hesitate to call me at x30938 to discuss any of the described transactions.  Best regards to all.  SHD.,5.0,Woman,White,25-29,Employed,College degree,train,1.3462898737225568
5,7,2181,0,"Dear Tana,

I just sent the executed CA to your fax machine. ",4.0,Woman,White,25-29,Employed,College degree,train,0.5510032390329863
6,8,837,0,I have recently changed jobs which has resulted in my new email address. Please send any future correspondence to his email address. Thank you.,5.0,Woman,White,25-29,Employed,College degree,train,1.3462898737225568
7,9,388,0,I would like to review things later this afternoon if you have time.  I have some prior obligations but I will be available in 30 minutes if that works.,5.0,Woman,White,25-29,Employed,College degree,train,1.3462898737225568
8,14,1577,0,Your killing me.  Lavo.  I'm going to start calling you Delainey.,2.0,Woman,White,25-29,Employed,College degree,train,-1.0395700303461544
9,17,3681,0,"vegas baby!  i spoke with jacques the other night.  he is going to leave a 
message with me at the desk.  so i will leave one there with you.  we are at 
harrah's accross from ceasars and mirage.  better have your game face on dog.",2.0,Woman,White,25-29,Employed,College degree,train,-1.0395700303461544
